,address,price,link
0,"NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133","$2,810+/mo",https://www.zillow.com/b/northpoint-apartments-san-francisco-ca-5XjLPJ/
1,"Parkmerced | 3711 19th Ave, San Francisco, CA","$2,750+ 1 bd",https://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/
2,"33 8th at Trinity Place | 33 8th St, San Francisco, CA","$2,599+ 1 bd",https://www.zillow.com/b/33-8th-at-trinity-place-san-francisco-ca-9NJw4S/
3,"2440 Van Ness Ave, 2440 Van Ness Ave, San Francisco, CA 94109","$2,750+/mo",https://www.zillow.com/b/2440-van-ness-ave-san-francisco-ca-9NKHF3/
4,"923 Folsom | 923 Folsom St, San Francisco, CA","$2,724+ 1 bd",https://www.zillow.com/b/923-folsom-san-francisco-ca-5Yy6Np/
5,"Vance, 830 Eddy St #603, San Francisco, CA 94109","$2,988/mo",https://www.zillow.com/b/vance-san-francisco-ca-9NKJBx/
6,"Chorus, 30 Otis St #629, San Francisco, CA 94103","$2,961/mo",https://www.zillow.com/b/chorus-san-francisco-ca-9NJvt7/
7,"Hanover Soma West, 1140 Harrison St #UO5, San Francisco, CA 94103","$2,976/mo",https://www.zillow.com/b/hanover-soma-west-san-francisco-ca-9NJsx9/
8,"Prism | 1028 Market St, San Francisco, CA","$2,744+ 1 bd",https://www.zillow.com/b/prism-san-francisco-ca-9NJpRh/
9,"1190 Mission at Trinity Place | 1190 Mission St, San Francisco, CA","$2,499+ 1 bd",https://www.zillow.com/b/1190-mission-at-trinity-place-san-francisco-ca-5XjVtb/
10,"1177 Market at Trinity Place | 1177 Market St, San Francisco, CA","$2,549+ 1 bd",https://www.zillow.com/b/1177-market-at-trinity-place-san-francisco-ca-BNjvdD/
11,"Mt. Sutro | 480 Warren Dr, San Francisco, CA","$2,495+ 1 bd",https://www.zillow.com/b/mt.-sutro-san-francisco-ca-5XjVRC/
12,"50 Golden Gate Ave., 50 Golden Gate Ave APT 100, San Francisco, CA 94102","$2,595/mo",https://www.zillow.com/b/50-golden-gate-ave.-san-francisco-ca-5j4CFB/
13,"1188 Mission at Trinity Place | 1188 Mission St, San Francisco, CA","$2,499+ 1 bd",https://www.zillow.com/b/1188-mission-at-trinity-place-san-francisco-ca-5XjN4q/
14,"845 Sutter, 845 Sutter St APT 409, San Francisco, CA 94109","$2,350/mo",https://www.zillow.com/b/845-sutter-san-francisco-ca-5XkKMm/
15,"The Landing | 1395 22nd St, San Francisco, CA","$2,760+ 1 bd",https://www.zillow.com/b/the-landing-san-francisco-ca-9NK3gC/
16,"Trinity Towers Apartments | 888 Ofarrell St, San Francisco, CA","$2,099+ 1 bd",https://www.zillow.com/b/trinity-towers-apartments-san-francisco-ca-5XjPdR/
17,"2000 Post | 2000 Post St, San Francisco, CA","$2,870+ 1 bd",https://www.zillow.com/b/2000-post-san-francisco-ca-5XjRNn/
18,"952 Sutter St. | 952 Sutter St, San Francisco, CA","$2,600+ 1 bd",https://www.zillow.com/b/952-sutter-st.-san-francisco-ca-5XjxLz/
19,"Geary Courtyard, 639 Geary St #1-214, San Francisco, CA 94102","$2,599/mo",https://www.zillow.com/b/geary-courtyard-san-francisco-ca-5XjRSd/
20,"Edgewater | 355 Berry St, San Francisco, CA","$2,798+ 1 bd",https://www.zillow.com/b/edgewater-san-francisco-ca-5XjVQc/
21,"Modera Rincon Hill | 390 1st St, San Francisco, CA","$2,801+ 1 bd",https://www.zillow.com/b/modera-rincon-hill-san-francisco-ca-9NJzvD/
22,"Crystal Tower Apartments | 2140 Taylor St, San Francisco, CA","$2,699+ 1 bd",https://www.zillow.com/b/crystal-tower-apartments-san-francisco-ca-5XjVtt/
23,"Loft 168, 168 Bluxome St, San Francisco, CA 94107","$2,800+/mo",https://www.zillow.com/b/loft-168-san-francisco-ca-9NK42M/
24,"2133 Stockton Street Apartments | 2133 Stockton St, San Francisco, CA","$2,299+ 1 bd",https://www.zillow.com/b/2133-stockton-street-apartments-san-francisco-ca-5Xhzkj/
25,"24 Franklin, 24 Franklin St #701, San Francisco, CA 94102","$2,895/mo",https://www.zillow.com/b/24-franklin-san-francisco-ca-9NJqFL/
26,"750 O'Farrell St | 750 Ofarrell St, San Francisco, CA","$2,145+ 1 bd",https://www.zillow.com/b/750-o%27farrell-st-san-francisco-ca-5YXpvZ/
27,"575 O'Farrell St, 575 Ofarrell St, San Francisco, CA 94102","$2,245+/mo",https://www.zillow.com/b/575-o%27farrell-st-san-francisco-ca-5j4D5y/
28,"1755 Van Ness Ave, 1755 Van Ness Ave #201, San Francisco, CA 94109","$2,895/mo",https://www.zillow.com/b/1755-van-ness-ave-san-francisco-ca-5Xk3VN/
29,"The Terraces | 1330 Bush St, San Francisco, CA","$2,427+ 1 bd",https://www.zillow.com/b/the-terraces-san-francisco-ca-5XjVSb/
30,"Grosvenor Atrium, 1690 Broadway, San Francisco, CA 94123","$3,000+/mo",https://www.zillow.com/b/grosvenor-atrium-san-francisco-ca-5XjKR5/
31,"840 Van Ness, 840 Van Ness Ave APT 502, San Francisco, CA 94109","$2,445/mo",https://www.zillow.com/b/840-van-ness-san-francisco-ca-5YCwMj/
32,"Potrero 1010 | 1010 16th St, San Francisco, CA","$2,727+ 1 bd",https://www.zillow.com/b/potrero-1010-san-francisco-ca-65fB7S/
33,"ChesHill on Mission | 33 Seneca Ave, San Francisco, CA","$2,800+ 1 bd",https://www.zillow.com/b/cheshill-on-mission-san-francisco-ca-BKTtQD/
34,"The Pier at Sausalito, 120 Bulkley Ave, Sausalito, CA 94965","$2,995+/mo",https://www.zillow.com/b/the-pier-at-sausalito-sausalito-ca-9NX3XH/
35,"AVA Nob Hill | 965 Sutter St, San Francisco, CA","$2,511+ 1 bd",https://www.zillow.com/b/ava-nob-hill-san-francisco-ca-5XkHq6/
36,"AVA 55 Ninth | 55 9th St, San Francisco, CA","$2,665+ 1 bd",https://www.zillow.com/b/ava-55-ninth-san-francisco-ca-5XkH8X/
37,"Mosso | 900 Folsom St, San Francisco, CA","$2,690+ 1 bd",https://www.zillow.com/b/mosso-san-francisco-ca-5XjPfY/
38,"Olume, 1401 Mission St #1104, San Francisco, CA 94103","$2,790/mo",https://www.zillow.com/b/olume-san-francisco-ca-5Yy6VF/
39,"1395 Golden Gate Ave, 1395 Golden Gate Ave APT 207, San Francisco, CA 94115","$2,995/mo",https://www.zillow.com/b/1395-golden-gate-ave-san-francisco-ca-9NKqZX/
